latitude,longitude
45.09759463,-68.65982253
45.09763322,-68.65991689
45.09766152,-68.65995376
45.09765503,-68.66004349
45.09767404,-68.66010138
45.09773416,-68.66011653
45.09775502,-68.66018075
45.09779918,-68.66021251
45.09784312,-68.66021258
45.0978894,-68.66025587
45.09792583,-68.66029359
45.09789232,-68.66035242
45.09789149,-68.66042269
45.09790799,-68.66048258
45.09792799,-68.66052639
45.0979764,-68.66058256
45.0979475,-68.66062514
45.09792227,-68.66065135
45.09787425,-68.6606656
45.09784123,-68.66069681
45.09780226,-68.66069535
45.09778033,-68.6607435
45.09772933,-68.66074679
45.09766759,-68.66077613
45.09765053,-68.66081378
45.09761149,-68.66083934
45.09761407,-68.66090525
45.09757118,-68.66084842
45.09752444,-68.66078677
45.09747852,-68.66080712
45.09742314,-68.66081068
45.09738811,-68.66081001
45.09732694,-68.66079633
